Seized Property Inventory Valued Over One Million Dollars,,
Fiscal Year 2018,,
Aircraft,,
Location,Description,Equity
"Pompano Beach, FL       ",Aircraft,"$1,451,115 "
Art Work/Collection ,,
Location,Description,Equity
"Signal Hill, CA         ",Miscellaneous Artwork,"$1,250,000 "
"Santa Clarita, CA      ",Printed Media,"$2,130,595 "
"Signal Hill, CA         ",Miscellaneous Artwork,"$2,875,000 "
"New York, NY            ",Miscellaneous Artwork,"$11,441,720 "
Cash/Currency       ,,
Location,Description,Equity
"Sacramento, CA          ",US Currency,"$1,000,000 "
"Jersey City, NJ         ",US Currency,"$1,000,000 "
"Irvine, CA              ",US Currency,"$1,000,000 "
"Walnut, CA              ",US Currency,"$1,000,000 "
"Plantation, FL          ",US Currency,"$1,000,809 "
"Hattiesburg, MS         ",US Currency,"$1,001,418 "
"New York, NY            ",US Currency,"$1,002,839 "
"Indianapolis, IN        ",US Currency,"$1,004,519 "
"District Of Columbia, DC",US Currency,"$1,005,347 "
"Romulus, MI             ",US Currency,"$1,017,096 "
"Santa Ana, CA           ",US Currency,"$1,023,116 "
"Lakewood, CA            ",US Currency,"$1,023,395 "
"Chicago, IL             ",US Currency,"$1,023,741 "
"North Olmsted, OH       ",US Currency,"$1,024,083 "
"Beverly Hills, CA       ",US Currency,"$1,027,640 "
"Virginia Beach, VA      ",US Currency,"$1,029,004 "
"New York, NY            ",US Currency,"$1,031,182 "
"Greenwood Village, CO   ",US Currency,"$1,032,005 "
"Jacksonville, FL        ",US Currency,"$1,035,851 "
"San Diego, CA           ",US Currency,"$1,037,100 "
"Bay City, TX            ",US Currency,"$1,039,960 "
"White Plains, NY        ",US Currency,"$1,047,263 "
"Fort Mohave, AZ         ",US Currency,"$1,048,450 "
"Sacramento, CA          ",US Currency,"$1,050,000 "
"Merrillville, IN        ",US Currency,"$1,053,756 "
"New Jersey, NJ          ",US Currency,"$1,059,122 "
"Haverford, PA           ",US Currency,"$1,066,435 "
"Colton, CA              ",US Currency,"$1,070,050 "
"Chicago, IL             ",US Currency,"$1,073,241 "
"Brooklyn, NY            ",US Currency,"$1,074,616 "
"Banning, CA             ",US Currency,"$1,079,000 "
"Huntingdon Valley, PA   ",US Currency,"$1,095,722 "
"Lady Lake, FL           ",US Currency,"$1,101,950 "
"Detroit, MI             ",US Currency,"$1,102,908 "
"Sturtevant, WI          ",US Currency,"$1,110,960 "
"West Bloomfield, MI    ",US Currency,"$1,120,622 "
"Chicago, IL             ",US Currency,"$1,124,890 "
"Armonk, NY              ",US Currency,"$1,125,000 "
"Miami, FL               ",US Currency,"$1,128,640 "
"Los Angeles, CA   ",US Currency,"$1,130,619 "
"Brooklyn, NY            ",US Currency,"$1,130,943 "
"Farmington Hills, MI    ",US Currency,"$1,131,792 "
"Long Island City, NY    ",US Currency,"$1,133,950 "
"Philadelphia, PA        ",US Currency,"$1,135,702 "
"Natchez, MS             ",US Currency,"$1,142,413 "
"New York, NY            ",US Currency,"$1,172,523 "
"Clearwater, FL          ",US Currency,"$1,173,867 "
"Brooklyn, NY            ",US Currency,"$1,177,844 "
"Houston, TX             ",US Currency,"$1,177,983 "
"Sparks, MD              ",US Currency,"$1,181,850 "
"New York, NY            ",US Currency,"$1,201,107 "
"Irvine, CA              ",US Currency,"$1,204,582 "
"White Plains, NY        ",US Currency,"$1,208,938 "
"Beaumont, CA           ",US Currency,"$1,211,125 "
"Cottonwood Heights, UT",US Currency,"$1,227,773 "
"New York, NY            ",US Currency,"$1,227,958 "
"Hattiesburg, MS         ",US Currency,"$1,233,232 "
"San Jose, CA            ",US Currency,"$1,241,681 "
"New Haven, CT           ",US Currency,"$1,257,948 "
"Pinellas Park, FL       ",US Currency,"$1,276,782 "
"McAllen, TX             ",US Currency,"$1,278,271 "
"Greenwood Village, CO   ",US Currency,"$1,285,623 "
"Los Angeles, CA         ",US Currency,"$1,286,119 "
"Omaha, NE               ",US Currency,"$1,286,486 "
"North Riverside, IL     ",US Currency,"$1,288,256 "
"Rolla, MO               ",US Currency,"$1,304,840 "
"San Diego, CA           ",US Currency,"$1,324,691 "
"Miami, FL               ",US Currency,"$1,336,034 "
"Los Angeles, CA         ",US Currency,"$1,340,820 "
"Charlotte, NC           ",US Currency,"$1,342,125 "
"Lutherville, MD         ",US Currency,"$1,347,606 "
"Brookfield, WI          ",US Currency,"$1,349,496 "
"Maryland Heights, MO    ",US Currency,"$1,352,796 "
"Lyons, IL               ",US Currency,"$1,361,190 "
"Secaucus, NJ            ",US Currency,"$1,368,140 "
"Hattiesburg, MS         ",US Currency,"$1,372,218 "
"Brownsville, TX         ",US Currency,"$1,379,500 "
"Orlando, FL             ",US Currency,"$1,388,130 "
"San Diego, CA           ",US Currency,"$1,390,515 "
"Los Angeles, CA         ",US Currency,"$1,400,000 "
"Russell, KY             ",US Currency,"$1,428,306 "
"Loganville, GA          ",US Currency,"$1,429,557 "
"Newark, NY              ",US Currency,"$1,453,592 "
"Brooklyn, NY            ",US Currency,"$1,466,650 "
"New York, NY            ",US Currency,"$1,478,798 "
"Greenwood Village, CO   ",US Currency,"$1,491,205 "
"Scranton, PA            ",US Currency,"$1,500,000 "
"Chicago, IL             ",US Currency,"$1,503,251 "
"Greenwood Village, CO   ",US Currency,"$1,513,635 "
"Pittsburgh, PA          ",US Currency,"$1,533,217 "
"Winona, MN              ",US Currency,"$1,537,311 "
"Cerritos, CA            ",US Currency,"$1,539,830 "
"Baldwin Park, CA        ",US Currency,"$1,548,611 "
"Flowood, MS             ",US Currency,"$1,567,980 "
"Indianapolis, IN        ",US Currency,"$1,600,322 "
"New York, NY            ",US Currency,"$1,617,331 "
"Portland, OR            ",US Currency,"$1,619,120 "
"New York, NY            ",US Currency,"$1,619,772 "
"Hattiesburg, MS         ",US Currency,"$1,621,556 "
"Miami, FL               ",US Currency,"$1,631,056 "
"Bryn Mawr, PA           ",US Currency,"$1,649,169 "
"Atlanta, GA             ",US Currency,"$1,649,837 "
"San Francisco, CA       ",US Currency,"$1,664,208 "
"Miami, FL               ",US Currency,"$1,668,840 "
"San Diego, CA           ",US Currency,"$1,679,970 "
"Charlotte, NC           ",US Currency,"$1,682,870 "
"Philadelphia, PA        ",US Currency,"$1,693,817 "
"Los Angeles, CA         ",US Currency,"$1,750,000 "
"Great Neck, NY          ",US Currency,"$1,753,309 "
"Orange, CA              ",US Currency,"$1,756,671 "
"Lone Tree, CO           ",US Currency,"$1,801,013 "
"Covington, NY           ",US Currency,"$1,802,128 "
"Alphretta, GA           ",US Currency,"$1,810,490 "
"Fort Worth, TX          ",US Currency,"$1,815,847 "
"Glenside, PA            ",US Currency,"$1,864,545 "
"Roswell, GA             ",US Currency,"$1,875,977 "
"Bolton, MA              ",US Currency,"$1,898,500 "
"Tampa, FL               ",US Currency,"$1,900,000 "
"Livonia, MI             ",US Currency,"$1,902,030 "
"Hattiesburg, MS         ",US Currency,"$1,905,238 "
"Birchwood, TN           ",US Currency,"$1,912,721 "
"Los Angeles, CA         ",US Currency,"$1,912,877 "
"Charlotte, NC           ",US Currency,"$1,916,793 "
"New York City, NY       ",US Currency,"$1,983,968 "
"Floral Park, NY         ",US Currency,"$1,998,244 "
"Las Vegas, NV           ",US Currency,"$1,999,875 "
"Philadelphia, PA        ",US Currency,"$2,000,000 "
"New York, NY            ",US Currency,"$2,019,937 "
"Ponce, PR               ",US Currency,"$2,101,995 "
"Irvine, CA              ",US Currency,"$2,112,674 "
"Hattiesburg, MS         ",US Currency,"$2,122,737 "
"Cherry Hill, NJ        ",US Currency,"$2,123,033 "
"Hurst, TX               ",US Currency,"$2,134,263 "
"Mission, TX             ",US Currency,"$2,142,805 "
"New York, NY            ",US Currency,"$2,187,972 "
"Winona, MN              ",US Currency,"$2,193,414 "
"Haverford, PA           ",US Currency,"$2,200,461 "
"Plantation, FL          ",US Currency,"$2,200,999 "
"New York, NY            ",US Currency,"$2,226,521 "
"Jersey City, NJ         ",US Currency,"$2,230,266 "
"Columbus, OH            ",US Currency,"$2,244,772 "
"Chicago, IL          ",US Currency,"$2,271,850 "
"Anaheim, CA             ",US Currency,"$2,303,425 "
"Chicago, IL             ",US Currency,"$2,315,116 "
"Ponce, PR               ",US Currency,"$2,350,905 "
"Red Bank, NJ            ",US Currency,"$2,380,091 "
"New Haven, CT           ",US Currency,"$2,462,934 "
"New York, NY            ",US Currency,"$2,481,929 "
"Minneapolis, MN         ",US Currency,"$2,500,000 "
"Fort Myers, FL          ",US Currency,"$2,504,696 "
"San Juan, PR            ",US Currency,"$2,563,023 "
"Washington, DC         ",US Currency,"$2,601,286 "
"Jericho, NY             ",US Currency,"$2,612,368 "
"Brooklyn, NY            ",US Currency,"$2,673,279 "
"Bakersfield, CA         ",US Currency,"$2,676,000 "
"Chicago, IL             ",US Currency,"$2,682,470 "
"Orlando, FL             ",US Currency,"$2,698,748 "
"Brooklyn, NY            ",US Currency,"$2,720,572 "
"Brooklyn, NY            ",US Currency,"$2,754,873 "
"Omaha, NE               ",US Currency,"$2,780,018 "
"Orlando, FL             ",US Currency,"$2,800,000 "
"San Francisco, CA       ",US Currency,"$2,800,000 "
"Indianapolis, IN        ",US Currency,"$2,816,805 "
"Hazleton, PA            ",US Currency,"$2,901,267 "
"Hattiesburg, MS         ",US Currency,"$2,953,436 "
"Foothill Ranch, CA      ",US Currency,"$2,986,758 "
"Washington, DC          ",US Currency,"$2,999,931 "
"Albany, GA              ",US Currency,"$3,054,884 "
"Jersey City, NJ         ",US Currency,"$3,072,267 "
"Weston, FL              ",US Currency,"$3,225,594 "
"Weston, FL              ",US Currency,"$3,313,758 "
"Washington, DC          ",US Currency,"$3,350,000 "
"Houston, TX             ",US Currency,"$3,374,919 "
"Boston, MA              ",US Currency,"$3,500,000 "
"Detroit, MI             ",US Currency,"$3,650,413 "
"New York, NY            ",US Currency,"$3,816,686 "
"Knoxville, TN           ",US Currency,"$3,833,637 "
"New York, NY            ",US Currency,"$3,850,626 "
"Norfolk, VA             ",US Currency,"$3,859,839 "
"Chicago, IL             ",US Currency,"$4,016,146 "
"Hamden, CT              ",US Currency,"$4,096,229 "
"Hamden, CT              ",US Currency,"$4,240,254 "
"Los Angeles, CA         ",US Currency,"$4,251,097 "
"New York, NY            ",US Currency,"$4,269,172 "
"New York, NY            ",US Currency,"$4,455,274 "
"Dallas, TX              ",US Currency,"$4,480,466 "
"Houston, TX             ",US Currency,"$4,520,915 "
"Hattiesburg, MS         ",US Currency,"$4,794,772 "
"San Jose, CA            ",US Currency,"$4,934,463 "
"Newark, NJ              ",US Currency,"$4,990,871 "
"New York, NY            ",US Currency,"$5,000,000 "
"Jacksonville, FL        ",US Currency,"$5,177,315 "
"Delray Beach, FL        ",US Currency,"$5,294,576 "
"Hattiesburg, MS         ",US Currency,"$5,404,498 "
"New York, NY            ",US Currency,"$5,407,253 "
"Van Nuys, CA            ",US Currency,"$5,565,605 "
"Jersey City, NJ         ",US Currency,"$5,794,339 "
"New York, NY          ",US Currency,"$6,087,669 "
"Los Angeles, CA         ",US Currency,"$6,170,451 "
"Los Angeles, CA         ",US Currency,"$6,888,842 "
"Manassas, VA            ",US Currency,"$8,022,495 "
"Saint Louis, MO           ",US Currency,"$8,462,621 "
"La Habra, CA            ",US Currency,"$8,488,674 "
"Pineville, NC           ",US Currency,"$8,688,630 "
"Norfolk, VA            ",US Currency,"$9,754,810 "
"Sydney, Australia              ",US Currency,"$9,805,622 "
"New York, NY            ",US Currency,"$9,875,168 "
"Albuquerque, NM         ",US Currency,"$10,128,847 "
"Washington, DC          ",US Currency,"$10,999,805 "
"San Antonio, TX     ",US Currency,"$11,314,205 "
"Chicago, IL             ",US Currency,"$11,492,058 "
"Jacksonville, FL        ",US Currency,"$12,987,313 "
"Highland Park, IL       ",US Currency,"$18,516,069 "
"Dallas, TX              ",US Currency,"$20,100,357 "
"Brooklyn, NY            ",US Currency,"$20,135,482 "
"San Antonio, TX     ",US Currency,"$25,002,569 "
"New York, NY            ",US Currency,"$28,757,052 "
"Beverly Hills, CA       ",US Currency,"$30,847,709 "
"New York, NY            ",US Currency,"$37,564,565 "
"New York, NY            ",US Currency,"$41,798,555 "
Electronic Equipment,,
Location,Description,Equity
"Hereford, MD            ",Miscellaneous Electronic Equipment,"$2,479,950 "
Financial Instrument,,
Location,Description,Equity
"Phoenix, AZ             ",Financial Instrument - Financial Account,"$1,001,731 "
"Los Angeles, CA         ",Financial Instrument - Cryptocurrency,"$1,104,065 "
"Jersey City, NJ         ",Financial Instrument - Securities Account,"$1,205,592 "
"Maryland Heights, MO    ",Financial Instrument - Financial Account,"$1,315,150 "
"Dallas, TX              ",Financial Instrument - Cryptocurrency,"$1,320,001 "
"Dallas, TX              ",Financial Instrument - Cryptocurrency,"$1,378,528 "
"Laguna Niguel, CA       ",Financial Instrument - Financial Account,"$1,486,868 "
"New York, NY            ",Financial Instrument - Electronic Payment Account,"$1,488,337 "
"Reisterstown, MD        ",Financial Instrument - Cryptocurrency,"$1,497,851 "
"Phoenix, AZ             ",Financial Instrument - Financial Account,"$1,546,076 "
"Greensboro, NC          ",Financial Instrument - Insurance Account,"$1,631,207 "
"Washington, DC          ",Financial Instrument - Cryptocurrency Platform,"$2,148,165 "
"New York, NY            ",Financial Instrument - Cryptocurrency,"$2,242,438 "
"Frisco, TX              ",Financial Instrument - Financial Account,"$2,412,785 "
"Dallas, TX              ",Financial Instrument - Cryptocurrency,"$2,447,516 "
"Dallas, TX              ",Financial Instrument - Cryptocurrency,"$2,675,805 "
"Dallas, TX             ",Financial Instrument - Cryptocurrency,"$2,975,562 "
"Dallas, TX              ",Financial Instrument - Cryptocurrency,"$3,340,067 "
"Los Angeles, CA         ",Financial Instrument - Cryptocurrency,"$3,454,228 "
"New York, NY            ",Financial Instrument - Financial Account,"$3,713,121 "
"New York, NY            ",Financial Instrument - Financial Account,"$5,350,487 "
"Birmingham, AL          ",Financial Instrument - Financial Account,"$5,462,027 "
"Jacksonville, FL        ",Financial Instrument - Financial Account,"$5,634,451 "
"Washington, DC          ",Financial Instrument - Cryptocurrency,"$5,828,485 "
"Reisterstown, MD       ",Financial Instrument - Cryptocurrency,"$6,716,074 "
"Houston, TX             ",Financial Instrument - Financial Account,"$6,750,000 "
"Glen Mills, PA          ",Financial Instrument - Financial Account,"$8,666,829 "
"New York, NY            ",Financial Instrument - Financial Account,"$17,414,239 "
"New York, NY            ",Financial Instrument - Cryptocurrency Platform,"$44,680,998 "
"Jacksonville, FL        ",Financial Instrument - Financial Account,"$109,646,565 "
Jewelry/Precious Item  ,,
Location,Description,Equity
"Latrobe, PA             ",Miscellaenous Jewelry,"$5,128,642 "
"Los Angeles, CA         ",Miscellaneous Jewelry,"$7,162,900 "
Real Property       ,,
Location,Description,Equity
"Jasper, FL             ",Real Property,"$1,000,000 "
"New York, NY            ",Real Property,"$1,042,688 "
"Pinetop, AZ",Real Property,"$1,095,500 "
"Miami, FL               ",Real Property,"$1,574,000 "
"Paradise Valley, AZ     ",Real Property,"$2,490,000 "
Vehicles,,
Location,Description,Equity
"Towson, MD              ",Vehicle,"$1,400,000 "
Vessel             ,,
Location,Description,Equity
"New Bedford, MA         ",Vessel,"$1,020,000 "
"New Bedford, MA         ",Vessel,"$2,040,000 "
"Fort Lauderdale, FL      ",Vessel,"$6,200,000 "
"West Palm Beach, FL   ",Vessel,"$32,000,000 "
,,
,,
,,
